iter	Passed	Remaining
0	9	2025
1	37	4121
2	63	4557
3	88	4788
4	114	4924
5	139	4961
6	164	5015
7	189	5031
8	214	5038
9	239	5034
10	265	5037
11	292	5061
12	316	5041
13	340	5012
14	365	4993
15	395	5036
16	421	5027
17	445	5001
18	470	4975
19	495	4951
20	520	4932
21	544	4903
22	568	4873
23	592	4842
24	618	4820
25	642	4796
26	668	4777
27	692	4747
28	716	4722
29	743	4706
30	767	4680
31	792	4657
32	817	4633
33	843	4612
34	868	4589
35	892	4561
36	916	4531
37	940	4505
38	965	4481
39	989	4454
40	1014	4429
41	1039	4407
42	1065	4384
43	1091	4364
44	1116	4340
45	1140	4313
46	1164	4284
47	1188	4259
48	1213	4233
49	1238	4209
50	1262	4183
51	1287	4160
52	1313	4137
53	1340	4120
54	1367	4101
55	1393	4082
56	1419	4059
57	1446	4040
58	1475	4025
59	1500	4002
60	1527	3982
61	1553	3958
62	1580	3937
63	1606	3915
64	1630	3887
65	1654	3861
66	1679	3835
67	1706	3813
68	1732	3791
69	1758	3767
70	1782	3740
71	1806	3712
72	1830	3686
73	1855	3661
74	1881	3637
75	1905	3610
76	1931	3586
77	1955	3560
78	1980	3534
79	2004	3508
80	2032	3487
81	2056	3461
82	2082	3436
83	2106	3410
84	2134	3390
85	2161	3367
86	2185	3340
87	2209	3314
88	2235	3289
89	2261	3266
90	2283	3237
91	2307	3211
92	2333	3186
93	2357	3159
94	2381	3133
95	2404	3105
96	2427	3078
97	2449	3049
98	2475	3025
99	2499	2999
100	2524	2974
101	2547	2947
102	2572	2921
103	2598	2898
104	2625	2875
105	2649	2849
106	2674	2823
107	2697	2797
108	2723	2773
109	2748	2748
110	2769	2720
111	2796	2696
112	2820	2670
113	2848	2648
114	2871	2621
115	2894	2595
116	2917	2568
117	2940	2541
118	2966	2518
119	2992	2493
120	3017	2468
121	3042	2443
122	3067	2419
123	3089	2392
124	3111	2365
125	3137	2340
126	3161	2315
127	3188	2291
128	3213	2266
129	3240	2243
130	3266	2219
131	3294	2196
132	3318	2171
133	3345	2147
134	3374	2124
135	3400	2100
136	3425	2075
137	3451	2050
138	3477	2026
139	3503	2001
140	3534	1980
141	3559	1955
142	3584	1930
143	3609	1905
144	3636	1880
145	3660	1855
146	3685	1830
147	3709	1804
148	3734	1779
149	3759	1754
150	3784	1729
151	3810	1704
152	3834	1679
153	3860	1654
154	3886	1629
155	3910	1604
156	3935	1579
157	3959	1553
158	3983	1528
159	4009	1503
160	4034	1478
161	4061	1454
162	4086	1429
163	4112	1404
164	4137	1379
165	4163	1354
166	4188	1329
167	4213	1304
168	4238	1279
169	4264	1254
170	4288	1228
171	4308	1202
172	4332	1176
173	4356	1151
174	4380	1126
175	4404	1101
176	4427	1075
177	4450	1050
178	4474	1024
179	4497	999
180	4522	974
181	4550	950
182	4572	924
183	4597	899
184	4618	873
185	4642	848
186	4660	822
187	4682	797
188	4705	771
189	4727	746
190	4749	721
191	4772	695
192	4795	670
193	4817	645
194	4840	620
195	4865	595
196	4888	570
197	4911	545
198	4933	520
199	4947	494
200	4969	469
201	4993	444
202	5017	420
203	5035	394
204	5053	369
205	5078	345
206	5100	320
207	5116	295
208	5138	270
209	5161	245
210	5185	221
211	5208	196
212	5232	171
213	5248	147
214	5262	122
215	5286	97
216	5309	73
217	5322	48
218	5334	24
219	5357	0
